attacker_id,attack_type,period_ms,start_sec,duration_sec
10,neighbor,10000,75,0
13,neighbor,10000,75,0
21,neighbor,10000,75,0
24,neighbor,10000,75,0
25,neighbor,10000,75,0
28,neighbor,10000,75,0
