attacker_id,attack_type,period_ms,start_sec,duration_sec
2,neighbor,5000,75,600
6,neighbor,5000,75,600
10,neighbor,5000,75,600
17,neighbor,5000,75,600
25,neighbor,5000,75,600
28,neighbor,5000,75,600
31,neighbor,5000,75,600
32,neighbor,5000,75,600
36,neighbor,5000,75,600
37,neighbor,5000,75,600
39,neighbor,5000,75,600
40,neighbor,5000,75,600
