attacker_id,attack_type,period_ms,start_sec,duration_sec
3,dis,5000,75,600
5,dis,5000,75,600
12,dis,5000,75,600
13,dis,5000,75,600
17,dis,5000,75,600
18,dis,5000,75,600
24,dis,5000,75,600
29,dis,5000,75,600
31,dis,5000,75,600
34,dis,5000,75,600
35,dis,5000,75,600
38,dis,5000,75,600
