name,nodes,spacing,attack,attackers,seed,mode,window,period_ms,duration,dis_threshold,tag,attackers_detected,node_TP,node_FP,node_FN,node_TN,node_TPR,node_FPR,node_precision,node_F1,dec_TP,dec_FP,dec_FN,dec_TN,dec_TPR,dec_FPR,detection_latency_sec,pdr,pdr_normal,delay_mean_s,delay_p95_s,dio_rx_per_node_min,dis_rx_per_node_min,parent_changes_per_node,blocks_temp,blocks_perm,blocked_pairs,temp_block_time_s,attacker_injections
m-20-neighbor-a1-w300-sliding-s4,20,20,neighbor,1,4,sliding,300,10000,30,3,,9,1,3,0,16,1.0,0.15789473684210525,0.25,0.4,955,3,82,11038,0.9209257473481196,0.00027171451861244454,25,1.0,1.0,0.037528376554175916,0.07168799999998043,5.763100374913269,0.13586511460315473,1.0555555555555556,244,98,132,14640,59
m-20-neighbor-a1-w300-sliding-s5,20,20,neighbor,1,5,sliding,300,10000,30,3,,10,1,10,0,9,1.0,0.5263157894736842,0.09090909090909091,0.16666666666666669,713,38,80,11491,0.8991172761664565,0.0032960360829213287,35,1.0,1.0,0.03805910596616221,0.0726959999999508,5.532541300490604,0.13028692717723878,1.0555555555555556,236,89,131,14160,59
m-20-dis-a1-w300-paper-s1,20,20,dis,1,1,paper,300,10000,30,3,,6,1,0,0,19,1.0,0.0,1.0,1.0,21,0,0,603,1.0,0.0,225,1.0,1.0,0.038067131975201576,0.07469599999997172,18.23674321790576,1.019321132126004,1.0555555555555556,20,8,12,1200,59
m-20-dis-a1-w300-paper-s2,20,20,dis,1,2,paper,300,10000,30,3,,3,1,0,0,19,1.0,0.0,1.0,1.0,30,0,0,585,1.0,0.0,225,1.0,1.0,0.038104213143869615,0.0736960000001261,24.56640145968219,1.4168653165139429,1.0555555555555556,21,10,11,1260,59
m-20-dis-a1-w300-paper-s3,20,20,dis,1,3,paper,300,10000,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,51,0,0,543,1.0,0.0,225,0.9991111111111111,0.99906191369606,0.039119380782918815,0.0746960000000172,32.452239377737804,2.340700766723852,1.0555555555555556,39,17,22,2340,59
m-20-dis-a1-w300-paper-s4,20,20,dis,1,4,paper,300,10000,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,51,0,0,543,1.0,0.0,225,1.0,1.0,0.03874941385435409,0.0726959999999508,32.93821685925042,2.3762063133358917,1.0555555555555556,40,17,23,2400,59
m-20-dis-a1-w300-paper-s5,20,20,dis,1,5,paper,300,10000,30,3,,10,1,0,0,19,1.0,0.0,1.0,1.0,39,0,0,567,1.0,0.0,225,1.0,1.0,0.038172131789848324,0.07369599999992715,28.61358052411001,1.8588611377429427,1.0555555555555556,29,13,16,1740,59
m-20-dis-a1-w300-sliding-s1,20,20,dis,1,1,sliding,300,10000,30,3,,6,1,0,0,19,1.0,0.0,1.0,1.0,399,0,28,12261,0.9344262295081968,0.0,45,1.0,1.0,0.038135794508415394,0.07469599999997172,6.263109148705399,0.8542718337642846,1.0555555555555556,245,89,136,14700,59
m-20-dis-a1-w300-sliding-s2,20,20,dis,1,2,sliding,300,10000,30,3,,3,1,0,0,19,1.0,0.0,1.0,1.0,570,0,40,11895,0.9344262295081968,0.0,45,1.0,1.0,0.03797061934339576,0.07337360000002495,6.978543050696291,1.18744111650733,1.0555555555555556,244,95,136,14640,59
m-20-dis-a1-w300-sliding-s3,20,20,dis,1,3,sliding,300,10000,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,969,0,68,11041,0.9344262295081968,0.0,45,1.0,1.0,0.037495574090508174,0.07369600000002378,7.348883522476119,1.961687535188003,1.1666666666666667,247,102,136,14820,59
m-20-dis-a1-w300-sliding-s4,20,20,dis,1,4,sliding,300,10000,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,969,0,68,11041,0.9344262295081968,0.0,45,1.0,1.0,0.03805120996441211,0.07354599999994767,7.6248867170322985,2.002614565931432,1.0555555555555556,236,95,123,14160,59
m-20-dis-a1-w300-sliding-s5,20,20,dis,1,5,sliding,300,10000,30,3,,10,1,0,0,19,1.0,0.0,1.0,1.0,741,0,52,11529,0.9344262295081968,0.0,45,1.0,1.0,0.037909989304810425,0.073696000000038,7.231234665306222,1.5578594006764124,1.1111111111111112,211,87,118,12660,59
m-30-neighbor-a20pct-w300-paper-s1,30,20,neighbor,20%,1,paper,300,10000,30,3,,4;27,2,0,4,24,0.3333333333333333,0.0,1.0,0.5,14,0,151,747,0.08484848484848485,0.0,225,1.0,1.0,0.05002700000000025,0.09713160000003977,10.56339955850273,0.24679215816179464,1.2608695652173914,15,4,10,900,354
m-30-neighbor-a20pct-w300-paper-s2,30,20,neighbor,20%,2,paper,300,10000,30,3,,4;30,2,0,4,24,0.3333333333333333,0.0,1.0,0.5,9,0,159,744,0.05357142857142857,0.0,225,1.0,1.0,0.05021935046729132,0.0986960000000181,11.156293607786152,0.21029934982740683,1.2608695652173914,12,3,9,720,354
