name,nodes,spacing,attack,attackers,seed,mode,window,period_ms,duration,dis_threshold,tag,attackers_detected,node_TP,node_FP,node_FN,node_TN,node_TPR,node_FPR,node_precision,node_F1,dec_TP,dec_FP,dec_FN,dec_TN,dec_TPR,dec_FPR,detection_latency_sec,node_FPR_anyrule,dec_FPR_anyrule,blocks_temp_normal,blocks_perm_normal,normals_blocked,pdr,pdr_normal,rx_duplicates,delay_mean_s,delay_p95_s,overhead_source,dio_rx_per_node_min,dis_rx_per_node_min,parent_changes_per_node,blocks_temp,blocks_perm,blocked_pairs,temp_block_time_s,attacker_injections
m-30-base-w300-paper-s5,30,20,baseline,0,5,paper,300,0,30,3,,,0,14,0,16,nan,0.4666666666666667,0.0,0.0,0,21,0,1839,nan,0.01129032258064516,,0.4666666666666667,0.01129032258064516,21,0,14,1.0,1.0,0,0.04972288187134653,0.09468159999994726,ev,4.583125680396876,0.21961289637626777,1.0,21,0,21,1260,0
m-30-base-w300-sliding-s1,30,20,baseline,0,1,sliding,300,0,30,3,,,0,30,0,0,nan,1.0,0.0,0.0,0,1073,0,64846,nan,0.016277552754137652,,1.0,0.016277552754137652,399,139,29,1.0,1.0,0,0.05075474752186514,0.09769600000004175,ev,4.5684394098271,0.18508272395122372,1.0,407,142,225,24420,0
m-30-base-w300-sliding-s2,30,20,baseline,0,2,sliding,300,0,30,3,,,0,29,0,1,nan,0.9666666666666667,0.0,0.0,0,1144,0,64820,nan,0.01734279303862713,,0.9666666666666667,0.01734279303862713,408,139,29,0.9994162288382954,0.9994162288382954,0,0.04982217289719956,0.09667839999999614,ev,4.531180487463217,0.18046558511712962,1.0,408,139,228,24480,0
m-30-base-w300-sliding-s3,30,20,baseline,0,3,sliding,300,0,30,3,,,0,30,0,0,nan,1.0,0.0,0.0,0,1109,0,64803,nan,0.016825464255370796,,1.0,0.016825464255370796,369,136,29,1.0,1.0,0,0.050369719626167944,0.09569600000008904,ev,4.588553689629211,0.18855494991209984,1.0344827586206897,378,140,212,22680,0
m-30-base-w300-sliding-s4,30,20,baseline,0,4,sliding,300,0,30,3,,,0,30,0,0,nan,1.0,0.0,0.0,0,1185,0,64689,nan,0.017988887876855816,,1.0,0.017988887876855816,416,149,29,1.0,1.0,0,0.04961357660818929,0.09469599999994785,ev,4.603493892657009,0.23575224781281207,1.0344827586206897,423,151,230,25380,0
m-30-base-w300-sliding-s5,30,20,baseline,0,5,sliding,300,0,30,3,,,0,30,0,0,nan,1.0,0.0,0.0,0,1093,0,64801,nan,0.01658724618326403,,1.0,0.01658724618326403,385,132,29,1.0,1.0,0,0.04972288187134653,0.09468159999994726,ev,4.583125680396876,0.21961289637626777,1.0,386,132,216,23160,0
m-40-base-w300-paper-s1,40,20,baseline,0,1,paper,300,0,30,3,,,0,25,0,15,nan,0.625,0.0,0.0,0,35,0,2605,nan,0.013257575757575758,,0.625,0.013257575757575758,35,0,25,1.0,1.0,0,0.06360267130434474,0.12466399999999567,ev,4.874430206032385,0.2803459771310928,1.0,35,0,34,2100,0
m-40-base-w300-paper-s2,40,20,baseline,0,2,paper,300,0,30,3,,,0,18,0,22,nan,0.45,0.0,0.0,0,24,0,2616,nan,0.00909090909090909,,0.45,0.00909090909090909,24,0,18,1.0,1.0,0,0.06248651632564404,0.12369599999999537,ev,4.823150856620498,0.2598330427809023,1.0,24,0,23,1440,0
m-40-base-w300-paper-s3,40,20,baseline,0,3,paper,300,0,30,3,,,0,19,0,21,nan,0.475,0.0,0.0,0,33,0,2607,nan,0.0125,,0.475,0.0125,32,1,19,1.0,1.0,0,0.06273679407923052,0.1236960000000181,ev,4.863740396866469,0.2812744929810281,1.0256410256410255,32,1,29,1920,0
m-40-base-w300-paper-s4,40,20,baseline,0,4,paper,300,0,30,3,,,0,16,0,24,nan,0.4,0.0,0.0,0,20,0,2620,nan,0.007575757575757576,,0.4,0.007575757575757576,20,0,16,1.0,1.0,0,0.06232520174672528,0.12169600000010519,ev,4.988944198694535,0.3385813029448219,1.0,20,0,19,1200,0
m-40-base-w300-paper-s5,40,20,baseline,0,5,paper,300,0,30,3,,,0,24,0,16,nan,0.6,0.0,0.0,0,31,0,2609,nan,0.011742424242424242,,0.6,0.011742424242424242,31,0,24,1.0,1.0,0,0.06283721465968618,0.12069599999995262,ev,4.837213437435861,0.3069211071119608,1.0,31,0,30,1860,0
m-40-base-w300-sliding-s1,40,20,baseline,0,1,sliding,300,0,30,3,,,0,40,0,0,nan,1.0,0.0,0.0,0,1518,0,91963,nan,0.01623859393887528,,1.0,0.01623859393887528,536,186,39,1.0,1.0,0,0.0629505964301269,0.12369599999988168,ev,4.817506995204789,0.2743824956459789,1.0,543,187,306,32580,0
m-40-base-w300-sliding-s2,40,20,baseline,0,2,sliding,300,0,30,3,,,0,40,0,0,nan,1.0,0.0,0.0,0,1422,0,92128,nan,0.015200427578834847,,1.0,0.015200427578834847,532,181,39,1.0,1.0,0,0.06248651632564404,0.12369599999999537,ev,4.823150856620498,0.2598330427809023,1.0,536,181,300,32160,0
m-40-base-w300-sliding-s3,40,20,baseline,0,3,sliding,300,0,30,3,,,0,40,0,0,nan,1.0,0.0,0.0,0,1558,0,91912,nan,0.016668449769979672,,1.0,0.016668449769979672,534,191,39,1.0,1.0,0,0.06378356078431482,0.123995999999988,ev,4.791321276013354,0.27017443312280875,1.0,540,191,305,32400,0
m-40-base-w300-sliding-s4,40,20,baseline,0,4,sliding,300,0,30,3,,,0,39,0,1,nan,0.975,0.0,0.0,0,1489,0,91924,nan,0.0159399655294231,,0.975,0.0159399655294231,531,186,39,1.0,1.0,0,0.06258609864687939,0.12469599999997172,ev,4.944857351021827,0.32139435851066667,1.0256410256410255,531,186,300,31860,0
m-40-base-w300-sliding-s5,40,20,baseline,0,5,sliding,300,0,30,3,,,0,40,0,0,nan,1.0,0.0,0.0,0,1467,0,91979,nan,0.015698906320227725,,1.0,0.015698906320227725,563,196,39,1.0,1.0,0,0.06161295769733891,0.12169599999997445,ev,4.728377724499579,0.3068488075009668,1.0,566,196,319,33960,0
m-20-neighbor-a1-w300-paper-s1,20,20,neighbor,1,1,paper,300,0,30,3,,6,1,6,0,13,1.0,0.3157894736842105,0.14285714285714285,0.25,35,8,0,997,1.0,0.007960199004975124,225,0.3157894736842105,0.007960199004975124,8,0,6,1.0,1.0,0,0.038260202307007184,0.0746959999999035,ev,4.900132546322637,0.08531646371341457,1.0,22,7,14,1320,67
m-20-neighbor-a1-w300-paper-s2,20,20,neighbor,1,2,paper,300,0,30,3,,3,1,4,0,15,1.0,0.21052631578947367,0.2,0.33333333333333337,50,4,0,971,1.0,0.0041025641025641026,225,0.21052631578947367,0.0041025641025641026,4,0,4,1.0,1.0,0,0.03790849334516508,0.0746640000000042,ev,5.829509478909117,0.08891530187087308,1.0,24,10,14,1440,88
m-20-neighbor-a1-w300-paper-s3,20,20,neighbor,1,3,paper,300,0,30,3,,9,1,1,0,18,1.0,0.05263157894736842,0.5,0.6666666666666666,78,1,7,904,0.9176470588235294,0.0011049723756906078,225,0.05263157894736842,0.0011049723756906078,1,0,1,1.0,1.0,0,0.03833574400000002,0.0746959999999035,ev,8.87895469308785,0.09445696482008353,1.0,35,17,18,2100,159
m-20-neighbor-a1-w300-paper-s4,20,20,neighbor,1,4,paper,300,0,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,84,0,1,905,0.9882352941176471,0.0,225,0.0,0.0,0,0,0,1.0,1.0,0,0.03784930133333438,0.0736895999999433,ev,8.639145366373812,0.13527619299555732,1.0,34,17,17,2040,149
m-20-neighbor-a1-w300-paper-s5,20,20,neighbor,1,5,paper,300,0,30,3,,10,1,2,0,17,1.0,0.10526315789473684,0.3333333333333333,0.5,63,2,2,943,0.9692307692307692,0.0021164021164021165,225,0.10526315789473684,0.0021164021164021165,2,0,2,1.0,1.0,0,0.03773902048085647,0.07456719999998981,ev,6.999609137676739,0.1296566921506673,1.0,28,13,15,1680,121
m-20-neighbor-a1-w300-sliding-s1,20,20,neighbor,1,1,sliding,300,0,30,3,,6,1,18,0,1,1.0,0.9473684210526315,0.05263157894736842,0.1,477,531,727,34041,0.3961794019933555,0.015359250260326276,25,0.9473684210526315,0.015359250260326276,203,72,18,1.0,1.0,0,0.03819671631205595,0.07432520000005298,ev,4.747028667879177,0.08519832958347331,1.0,218,79,121,13080,54
m-20-neighbor-a1-w300-sliding-s2,20,20,neighbor,1,2,sliding,300,0,30,3,,3,1,18,0,1,1.0,0.9473684210526315,0.05263157894736842,0.1,967,324,753,33216,0.5622093023255814,0.00966010733452594,5,0.9473684210526315,0.00966010733452594,139,39,17,1.0,1.0,0,0.03836072340425186,0.0746960000000172,ev,5.655377393792139,0.0889152030468466,1.0,160,49,97,9600,80
m-20-neighbor-a1-w300-sliding-s3,20,20,neighbor,1,3,sliding,300,0,30,3,,9,1,18,0,1,1.0,0.9473684210526315,0.05263157894736842,0.1,2184,170,740,30962,0.746922024623803,0.005460619298471026,5,0.9473684210526315,0.005460619298471026,83,28,18,1.0,1.0,0,0.03813013333333305,0.07369599999992715,ev,8.93468877940351,0.09451755398248891,1.105263157894737,117,45,65,7020,160
m-20-neighbor-a1-w300-sliding-s4,20,20,neighbor,1,4,sliding,300,0,30,3,,9,1,17,0,2,1.0,0.8947368421052632,0.05555555555555555,0.10526315789473684,2172,79,752,31053,0.7428180574555403,0.002537581909289477,5,0.8947368421052632,0.002537581909289477,58,12,17,1.0,1.0,0,0.03785048888888997,0.07347040000004194,ev,8.039303427249122,0.13528565011276758,1.0,92,29,55,5520,130
m-20-neighbor-a1-w300-sliding-s5,20,20,neighbor,1,5,sliding,300,0,30,3,,10,1,19,0,0,1.0,1.0,0.05,0.09523809523809523,1530,291,706,32217,0.684257602862254,0.008951642672572905,5,1.0,0.008951642672572905,123,40,18,1.0,1.0,0,0.03759386642920928,0.07369279999993522,ev,6.651388307329232,0.1296566921506673,1.0,151,54,82,9060,104
m-20-dis-a1-w300-paper-s1,20,20,dis,1,1,paper,300,0,30,3,,6,1,0,0,19,1.0,0.0,1.0,1.0,35,0,0,1005,1.0,0.0,225,0.15789473684210525,0.0185546875,3,1,2,1.0,1.0,0,0.03816600177148004,0.07469600000013088,ev,15.433990747902225,0.7465968396836631,1.0,31,8,16,1860,51
m-20-dis-a1-w300-paper-s2,20,20,dis,1,2,paper,300,0,30,3,,3,1,0,0,19,1.0,0.0,1.0,1.0,50,0,0,975,1.0,0.0,225,0.05263157894736842,0.014155712841253791,0,0,0,1.0,1.0,0,0.038267113475177035,0.07369599999992715,ev,17.29454979757702,1.070491516705881,1.0,34,10,17,2040,53
m-20-dis-a1-w300-paper-s3,20,20,dis,1,3,paper,300,0,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,85,0,0,905,1.0,0.0,225,0.15789473684210525,0.016304347826086956,2,0,2,1.0,1.0,0,0.038494085409255197,0.07469600000011382,ev,24.381448378164578,1.9208054370703234,1.0,49,17,26,2940,58
m-20-dis-a1-w300-paper-s4,20,20,dis,1,4,paper,300,0,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,85,0,0,905,1.0,0.0,225,0.15789473684210525,0.01737242128121607,2,0,2,1.0,1.0,0,0.03908604096171079,0.07569599999987986,ev,22.98410596613554,1.930161058729306,1.0,50,17,26,3000,57
m-20-dis-a1-w300-paper-s5,20,20,dis,1,5,paper,300,0,30,3,,10,1,0,0,19,1.0,0.0,1.0,1.0,65,0,0,945,1.0,0.0,225,0.15789473684210525,0.015625,2,0,2,1.0,1.0,0,0.03854667141585307,0.07469600000011951,ev,21.339580000554367,1.5021612169472782,1.0,41,13,22,2460,57
m-20-dis-a1-w300-sliding-s1,20,20,dis,1,1,sliding,300,0,30,3,,6,1,0,0,19,1.0,0.0,1.0,1.0,14,0,1190,34572,0.011627906976744186,0.0,645,0.5263157894736842,0.006665900471210206,20,7,9,1.0,1.0,0,0.03833835669920111,0.07569600000007312,ev,24.17571211287923,0.7852383894485058,1.0,44,10,24,2640,54
m-20-dis-a1-w300-sliding-s2,20,20,dis,1,2,sliding,300,0,30,3,,3,1,0,0,19,1.0,0.0,1.0,1.0,22,0,1698,33540,0.012790697674418604,0.0,575,0.0,0.0,1,0,1,1.0,1.0,0,0.03861669503545702,0.07589360000005167,ev,31.492675176830073,1.0346745612736212,1.0,21,2,11,1260,51
m-20-dis-a1-w300-sliding-s3,20,20,dis,1,3,sliding,300,0,30,3,,,0,0,1,19,0.0,0.0,nan,0.0,0,0,2924,31132,0.0,0.0,,0.5789473684210527,0.0006420133538777606,21,1,11,1.0,1.0,0,0.03891050666666831,0.07569600000010723,ev,45.39148528184701,1.6686139632372157,1.0,23,1,19,1380,50
m-20-dis-a1-w300-sliding-s4,20,20,dis,1,4,sliding,300,0,30,3,,9,1,0,0,19,1.0,0.0,1.0,1.0,51,0,2873,31132,0.01744186046511628,0.0,275,0.3157894736842105,0.0009306504926029332,13,5,6,1.0,1.0,0,0.03885948444444449,0.07468960000001061,ev,44.85956589931417,1.8666794264575908,1.0,56,22,29,3360,55
m-20-dis-a1-w300-sliding-s5,20,20,dis,1,5,sliding,300,0,30,3,,10,1,0,0,19,1.0,0.0,1.0,1.0,26,0,2210,32508,0.011627906976744186,0.0,575,0.10526315789473684,0.00021528525296017224,2,0,2,1.0,1.0,0,0.03866924309883874,0.0746960000000172,ev,38.33506321209377,1.4063663288694073,1.0,34,1,20,2040,53
m-30-neighbor-a20pct-w300-paper-s1,30,20,neighbor,20%,1,paper,300,0,30,3,,4;10;20;27,4,2,2,22,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.6666666666666666,47,2,228,1243,0.1709090909090909,0.001606425702811245,225,0.08333333333333333,0.001606425702811245,2,0,2,1.0,1.0,0,0.05033361354348905,0.09667680000000017,ev,22.000505836256327,0.2058153915770735,1.0,25,11,14,1500,1242
m-30-neighbor-a20pct-w300-paper-s2,30,20,neighbor,20%,2,paper,300,0,30,3,,4;13;29;30,4,1,2,23,0.6666666666666666,0.041666666666666664,0.8,0.7272727272727272,44,1,236,1239,0.15714285714285714,0.0008064516129032258,225,0.041666666666666664,0.0008064516129032258,1,0,1,0.9994172494172494,0.9992652461425422,0,0.05008148338192467,0.0979864000000418,ev,20.007346413543665,0.175363195656558,1.0,23,10,13,1380,1060
m-30-neighbor-a20pct-w300-paper-s3,30,20,neighbor,20%,3,paper,300,0,30,3,,9;19,2,2,4,22,0.3333333333333333,0.08333333333333333,0.5,0.4,13,2,337,1058,0.037142857142857144,0.0018867924528301887,225,0.08333333333333333,0.0018867924528301887,2,0,2,1.0,1.0,0,0.05162677894736948,0.0986960000000181,ev,47.37132002073767,0.19443614674484172,1.0344827586206897,9,2,6,540,2448
m-30-neighbor-a20pct-w300-paper-s4,30,20,neighbor,20%,4,paper,300,0,30,3,,9;14;17;25,4,0,2,24,0.6666666666666666,0.0,1.0,0.8,44,0,286,1110,0.13333333333333333,0.0,225,0.0,0.0,0,0,0,1.0,1.0,0,0.05107763742690124,0.10223199999996946,ev,36.82407969352815,0.23196270673088598,1.0,19,9,10,1140,2055
m-30-neighbor-a20pct-w300-paper-s5,30,20,neighbor,20%,5,paper,300,0,30,3,,10;13,2,0,4,24,0.3333333333333333,0.0,1.0,0.5,27,0,298,1125,0.08307692307692308,0.0,225,0.0,0.0,0,0,0,0.9994155464640561,0.9992636229749632,0,0.05049440467836207,0.09769600000004175,ev,33.76065818065503,0.2289939036895121,1.0,12,5,7,720,1981
m-30-neighbor-a20pct-w300-sliding-s1,30,20,neighbor,20%,1,sliding,300,0,30,3,,4;10;20;26;27,5,13,1,11,0.8333333333333334,0.5416666666666666,0.2777777777777778,0.4166666666666667,1483,116,7977,42712,0.15676532769556026,0.0027085084524143084,5,0.5416666666666666,0.0027085084524143084,47,16,13,1.0,1.0,0,0.05062903617269688,0.09967520000001003,ev,21.20459673217027,0.2058980262560297,1.0,94,37,50,5640,1212
