timestamp,profile,state,source,in_zone,f_obs_hz,offset_m,distance_to_track_m,lat,lon
1779697311.3745768,tractorbeam,sync,sim,1,15.714,0.000,,45.0000002,11.0029995
1779697311.4937446,tractorbeam,sync,sim,1,15.746,0.000,,45.0000002,11.0030185
1779697311.5541534,tractorbeam,sync,sim,1,15.746,0.000,,45.0000001,11.0030372
1779697311.6192062,tractorbeam,sync,sim,1,15.831,0.000,,45.0000001,11.0030556
1779697311.6801107,tractorbeam,sync,sim,1,15.746,0.000,,45.0000001,11.0030738
1779697311.7459247,tractorbeam,sync,sim,1,15.831,0.000,,45.0000001,11.0030922
1779697311.8066337,tractorbeam,sync,sim,1,15.746,0.000,,45.0000001,11.0031106
1779697311.8712928,tractorbeam,sync,sim,1,15.746,0.000,,45.0000001,11.0031293
1779697311.9321268,tractorbeam,sync,sim,1,15.714,0.000,,45.0000001,11.003148
1779697311.9931529,tractorbeam,sync,sim,1,15.740,0.000,,45.0000001,11.003167
1779697312.057681,tractorbeam,sync,sim,1,16.005,0.000,,45.0000002,11.003186
1779697312.1193209,tractorbeam,sync,sim,1,15.740,0.000,,45.0000004,11.003205
1779697312.1790593,tractorbeam,sync,sim,1,15.933,0.000,,45.0000005,11.0032243
1779697312.2443717,tractorbeam,sync,sim,1,16.170,0.000,,45.0000006,11.0032436
1779697312.3056338,tractorbeam,sync,sim,1,16.170,0.000,,45.0000007,11.0032629
1779697312.367248,tractorbeam,sync,sim,1,16.170,0.000,,45.0000007,11.0032824
1779697312.4339826,tractorbeam,sync,sim,1,16.257,0.000,,45.0000008,11.0033019
1779697312.4970865,tractorbeam,sync,sim,1,16.170,0.000,,45.000001,11.0033213
1779697312.619827,tractorbeam,sync,sim,1,16.257,0.000,,45.0000013,11.0033605
1779697312.6811366,tractorbeam,sync,sim,1,16.257,0.000,,45.0000013,11.0033801
1779697312.743476,tractorbeam,sync,sim,1,16.257,0.000,,45.0000016,11.0033999
1779697312.8073988,tractorbeam,sync,sim,1,16.182,0.000,,45.0000017,11.0034195
1779697312.8683865,tractorbeam,sync,sim,1,16.055,0.000,,45.0000019,11.0034393
1779697312.929541,tractorbeam,ramp,sim,1,16.182,1.000,,44.99999497904909,11.003452739864914
1779697312.9942594,tractorbeam,ramp,sim,1,16.182,3.109,,44.999988058098715,11.003446479732128
1779697313.0534313,tractorbeam,ramp,sim,1,16.182,5.318,,44.99998113714886,11.003440219601648
1779697313.1188695,tractorbeam,ramp,sim,1,16.182,7.567,,44.99997421619955,11.003433959473469
1779697313.1812844,tractorbeam,ramp,sim,1,16.182,9.811,,44.99996729525075,11.003427699347593
1779697313.2437177,tractorbeam,ramp,sim,1,16.055,12.098,,44.99996037430248,11.00342143922402
1779697313.305754,tractorbeam,ramp,sim,1,16.003,14.433,,44.99995345335477,11.003415179102753
1779697313.3655357,tractorbeam,ramp,sim,1,16.055,16.806,,44.99994653240757,11.003408918983787
1779697313.4281337,tractorbeam,ramp,sim,1,16.078,19.240,,44.9999396114609,11.00340265886712
1779697313.4927623,tractorbeam,ramp,sim,1,16.003,21.782,,44.99993269051477,11.003396398752761
1779697313.556528,tractorbeam,ramp,sim,1,16.003,24.403,,44.99992576956916,11.003390138640702
1779697313.6168954,tractorbeam,ramp,sim,1,15.956,27.136,,44.99991884862409,11.003383878530945
1779697313.6806836,tractorbeam,ramp,sim,1,15.956,29.958,,44.99991192767955,11.003377618423492
1779697313.7417405,tractorbeam,ramp,sim,1,15.956,32.883,,44.99990500673554,11.003371358318343
1779697313.8055992,tractorbeam,ramp,sim,1,16.003,35.883,,44.999898085792054,11.003365098215495
1779697313.8664224,tractorbeam,ramp,sim,1,15.956,38.934,,44.99989116484912,11.00335883811495
1779697313.9307199,tractorbeam,ramp,sim,1,16.003,42.054,,44.9998842439067,11.00335257801671
1779697313.9912832,tractorbeam,ramp,sim,1,15.956,45.204,,44.99987732296481,11.003346317920771
1779697314.0525744,tractorbeam,ramp,sim,1,15.956,48.420,,44.99987040202345,11.003340057827135
