attacker_id,attack_type,period_ms,start_sec,duration_sec
6,dis,0,75,0
8,dis,0,75,0
9,dis,0,75,0
10,dis,0,75,0
14,dis,0,75,0
18,dis,0,75,0
22,dis,0,75,0
27,dis,0,75,0
30,dis,0,75,0
32,dis,0,75,0
33,dis,0,75,0
38,dis,0,75,0
